,index,Room_T,RH,Teff,actual,predicted
95,1385,27,60,19.3,2.5,2.41
96,779,25,45,19.4,1.7,1.72
97,529,28,40,19.4,2.1,2.19
98,399,22,35,19.4,1.3,1.34
99,1238,22,55,19.5,1.1,1.35
100,1449,22,60,19.5,1.3,1.41
101,1621,25,65,19.5,2.1,2.07
102,621,21,40,19.5,0.9,1.12
103,1832,25,70,19.5,2.3,2.2
104,989,25,50,19.6,1.7,1.71
105,727,29,45,19.6,2.5,2.41
106,189,22,30,19.6,1.3,1.39
107,962,27,50,19.6,1.9,2.1
108,121,27,30,19.7,1.7,1.82
109,2686,21,90,19.7,2.3,2.02
110,306,29,35,19.7,2.3,2.18
111,69,31,30,19.7,2.5,2.49
112,2699,20,90,19.7,2.1,1.79
113,1410,25,60,19.7,1.9,1.87
114,2476,22,85,19.7,2.3,2.06
115,2883,21,95,19.7,2.5,2.22
116,1818,26,70,19.7,2.3,2.28
117,1015,23,50,19.7,1.3,1.37
118,1448,22,60,19.8,1.1,1.33
119,175,23,30,19.8,1.3,1.37
120,582,24,40,19.8,1.5,1.41
121,385,23,35,19.8,1.3,1.26
122,1038,21,50,19.8,0.3,1.07
123,2673,22,90,19.8,2.5,2.23
124,398,22,35,19.9,1.1,1.14
125,503,30,40,19.9,2.5,2.4
126,148,25,30,19.9,1.5,1.54
127,411,21,35,20.0,0.9,0.96
128,1396,26,60,20.0,1.9,1.96
129,202,21,30,20.0,1.1,1.01
130,1831,25,70,20.0,2.1,2.08
131,188,22,30,20.1,1.1,1.14
132,1002,24,50,20.1,1.5,1.41
133,1880,21,70,20.1,0.7,1.25
134,305,29,35,20.1,2.1,2.04
135,713,30,45,20.1,2.5,2.43
136,2055,24,75,20.1,2.1,2.01
137,1014,23,50,20.2,1.1,1.23
138,936,29,50,20.2,2.3,2.29
139,1869,22,70,20.2,1.3,1.38
140,923,30,50,20.2,2.5,2.48
141,2028,26,75,20.2,2.3,2.25
142,3092,20,100,20.2,2.3,2.03
143,489,31,40,20.2,2.5,2.49
144,2698,20,90,20.2,1.9,1.65
145,1658,22,65,20.2,1.1,1.28
146,2278,23,80,20.2,1.9,1.95
147,2672,22,90,20.3,2.3,2.07
148,2685,21,90,20.3,2.1,1.84
149,1423,24,60,20.3,1.7,1.49
150,619,21,40,20.3,0.5,0.83
151,751,27,45,20.3,1.7,1.76
152,2462,23,85,20.3,2.3,2.11
153,1804,27,70,20.4,2.3,2.25
154,2239,26,80,20.4,2.5,2.32
155,1593,27,65,20.4,2.1,2.2
156,502,30,40,20.4,2.3,2.22
157,2252,25,80,20.4,2.3,2.24
158,1225,23,55,20.4,1.3,1.24
159,1199,25,55,20.5,1.7,1.51
160,2301,21,80,20.5,0.9,1.41
161,2027,26,75,20.5,2.1,2.23
162,712,30,45,20.5,2.3,2.28
163,791,24,45,20.5,1.3,1.23
164,961,27,50,20.5,1.7,1.78
165,988,25,50,20.5,1.5,1.44
166,410,21,35,20.5,0.7,0.76
167,909,31,50,20.6,2.5,2.47
168,935,29,50,20.6,2.1,2.14
169,1013,23,50,20.6,0.9,1.12
170,2090,21,75,20.6,0.7,1.22
171,1370,28,60,20.6,2.3,2.19
172,317,28,35,20.6,1.7,1.69
173,1224,23,55,20.6,1.1,1.18
174,764,26,45,20.7,1.5,1.47
175,1037,21,50,20.7,0.1,0.78
176,2407,27,85,20.7,2.5,2.54
177,567,25,40,20.7,1.3,1.26
178,488,31,40,20.7,2.3,2.31
179,501,30,40,20.8,2.1,2.07
180,685,32,45,20.8,2.5,2.48
181,514,29,40,20.8,1.9,1.88
182,2461,23,85,20.8,2.1,1.96
183,1633,24,65,20.8,1.7,1.44
184,527,28,40,20.8,1.7,1.69
185,2474,22,85,20.8,1.9,1.73
186,2448,24,85,20.9,2.3,2.16
187,2855,23,95,20.9,2.5,2.29
188,396,22,35,20.9,0.7,0.74
189,1185,26,55,20.9,1.7,1.55
190,1656,22,65,20.9,0.7,1.11
191,711,30,45,21.0,2.1,2.09
192,461,33,40,21.0,2.5,2.49
193,40,33,30,21.1,2.3,2.37
194,553,26,40,21.1,1.3,1.29
195,934,29,50,21.1,1.9,1.96
196,2288,22,80,21.1,1.1,1.46
197,290,30,35,21.2,1.9,1.83
198,53,32,30,21.2,2.1,2.13
199,369,24,35,21.3,0.9,0.88
200,566,25,40,21.3,1.1,1.11
201,2077,22,75,21.3,0.9,1.23
202,1866,22,70,21.3,0.7,1.11
203,1357,29,60,21.3,2.5,2.2
204,119,27,30,21.3,1.3,1.33
205,618,21,40,21.3,0.3,0.45
206,2696,20,90,21.3,1.5,1.35
207,2880,21,95,21.3,1.9,1.74
208,1212,24,55,21.3,1.5,1.13
209,1843,24,70,21.4,1.7,1.44
210,27,34,30,21.4,2.5,2.46
211,776,25,45,21.4,1.1,1.12
212,2460,23,85,21.4,1.9,1.77
213,1791,28,70,21.4,2.5,2.23
214,2617,26,90,21.4,2.5,2.29
215,1211,24,55,21.5,1.3,1.08
216,1222,23,55,21.5,0.7,0.9
217,263,32,35,21.5,2.1,2.11
218,316,28,35,21.5,1.5,1.41
219,1368,28,60,21.6,1.9,1.9
220,276,31,35,21.6,1.9,1.88
221,710,30,45,21.6,1.9,1.88
222,2631,25,90,21.6,2.5,2.29
223,723,29,45,21.7,1.7,1.65
224,1829,25,70,21.7,1.7,1.57
225,1457,21,60,21.7,0.1,0.63
226,1246,21,55,21.7,0.0,0.51
227,762,26,45,21.8,1.1,1.16
228,1790,28,70,21.8,2.3,2.23
