Room_T,RH,Teff,Wind_Speed
30,50,29.4,0.1
30,50,28.3,0.3
30,50,27.2,0.5
30,50,26.3,0.7
30,50,25.5,0.9
30,50,24.6,1.1
30,50,23.8,1.3
30,50,23.0,1.5
30,50,22.4,1.7
30,50,21.8,1.9
30,50,21.2,2.1
30,50,20.7,2.3
30,50,20.2,2.5
29,50,29.0,0.0
29,50,28.5,0.1
29,50,27.4,0.3
29,50,26.3,0.5
29,50,25.6,0.7
29,50,24.8,0.9
29,50,24.1,1.1
29,50,23.3,1.3
29,50,22.6,1.5
29,50,21.8,1.7
29,50,21.1,1.9
29,50,20.6,2.1
29,50,20.2,2.3
29,50,19.8,2.5
28,50,28.0,0.0
28,50,27.5,0.1
28,50,26.5,0.3
28,50,25.5,0.5
28,50,24.8,0.7
28,50,24.0,0.9
28,50,23.3,1.1
28,50,22.6,1.3
28,50,22.0,1.5
28,50,21.2,1.7
28,50,20.4,1.9
28,50,19.8,2.1
28,50,19.5,2.3
28,50,19.2,2.5
27,50,27.0,0.0
27,50,26.5,0.1
27,50,25.6,0.3
27,50,24.7,0.5
27,50,24.0,0.7
27,50,23.2,0.9
27,50,22.5,1.1
27,50,21.9,1.3
27,50,21.3,1.5
27,50,20.5,1.7
27,50,19.6,1.9
27,50,19.1,2.1
27,50,18.8,2.3
27,50,18.5,2.5
26,50,26.0,0.0
26,50,25.6,0.1
26,50,24.8,0.3
26,50,24.1,0.5
26,50,23.4,0.7
26,50,22.7,0.9
26,50,22.0,1.1
26,50,21.4,1.3
26,50,20.9,1.5
26,50,20.0,1.7
26,50,19.1,1.9
26,50,18.5,2.1
26,50,18.2,2.3
26,50,17.9,2.5
25,50,25.1,0.0
25,50,24.7,0.1
25,50,24.1,0.3
25,50,23.5,0.5
25,50,22.8,0.7
25,50,22.2,0.9
25,50,21.6,1.1
25,50,21.0,1.3
25,50,20.5,1.5
25,50,19.6,1.7
25,50,18.7,1.9
25,50,18.0,2.1
25,50,17.7,2.3
25,50,17.3,2.5
24,50,24.1,0.0
24,50,23.9,0.1
24,50,23.4,0.3
24,50,22.9,0.5
24,50,22.3,0.7
24,50,21.8,0.9
24,50,21.2,1.1
24,50,20.6,1.3
24,50,20.1,1.5
24,50,19.2,1.7
24,50,18.2,1.9
24,50,17.6,2.1
24,50,17.1,2.3
24,50,16.7,2.5
23,50,23.0,0.0
23,50,22.7,0.1
23,50,22.1,0.3
23,50,21.5,0.5
23,50,21.1,0.7
23,50,20.6,0.9
23,50,20.2,1.1
23,50,19.7,1.3
23,50,19.2,1.5
23,50,18.5,1.7
23,50,17.7,1.9
23,50,17.2,2.1
23,50,16.8,2.3
23,50,16.4,2.5
22,50,21.9,0.0
22,50,21.6,0.1
22,50,20.8,0.3
22,50,20.1,0.5
22,50,19.8,0.7
22,50,19.4,0.9
22,50,19.1,1.1
22,50,18.8,1.3
22,50,18.4,1.5
22,50,17.8,1.7
22,50,17.2,1.9
22,50,16.8,2.1
22,50,16.5,2.3
22,50,16.2,2.5
21,50,21.1,0.0
21,50,20.7,0.1
21,50,19.8,0.3
21,50,18.9,0.5
21,50,18.7,0.7
21,50,18.5,0.9
21,50,18.3,1.1
21,50,18.0,1.3
21,50,17.7,1.5
21,50,17.3,1.7
21,50,16.8,1.9
21,50,16.5,2.1
21,50,16.3,2.3
21,50,16.1,2.5
35,55,35.8,0.00
35,55,35.3,0.1
35,55,34.1,0.3
35,55,33.0,0.5
35,55,31.2,0.7
35,55,29.4,0.9
35,55,27.6,1.1
35,55,26.7,1.3
35,55,25.9,1.5
35,55,25.1,1.7
35,55,24.4,1.9
35,55,23.8,2.1
35,55,23.3,2.3
35,55,22.9,2.5
34,55,34.8,0.00
34,55,34.2,0.1
34,55,33.1,0.3
34,55,32.0,0.5
